id,code,nom,dci1,dosage1,unite_dosage1,forme,presentation,ppv,ph,prix_br,princeps_generique,taux_remboursement
78,6118010120664,MICROPAKINE LP 100 MG,VALPROATE DE SODIUM,100,MG,GRANULE LP,1 BOITE 30 SACHET,39.6,26.2,39.6,P,0%
79,6118001081820,MICROPAKINE LP 100 MG,VALPROATE DE SODIUM,100,MG,GRANULE LP,1 BOITE 30 SACHET,39.6,26.2,39.6,P,0%
80,6118001200696,CYTARABINE EBEWE,CYTARABINE,100,MG,SOLUTION POUR PERFUSION,1 FLACON 5 ML,42,26.2,42,G,70%
81,6118001070824,FLEET PHOSPHO-SODA,HYDROGENOPHOSPHATE DE SODIUM DODECAHYDRATE / DIHYDROGENOPHOSPHATE DE SODIUM HYDRATE,10.8 / 24.4,G / G,SOLUTION BUVABLE,2 FLACON 45 ML,128,84.65,128,G,0%
82,6118000190707,NEOMOX,AMOXICILLINE,250,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,28,17.5,28,G,70%
83,6118001050017,ANEXATE 0.5 MG / 5 ML,FLUMAZENIL,0.5,MG,SOLUTION INJECTABLE,1 BOITE 5 AMPOULE INJECTABLE,1079,713.8,1079,P,0%
84,6118001200306,RECOFOL,PROPOFOL,10,MG,EMULSION INJECTABLE,1 FLACON 50 ML,0,140,140,P,0%
85,6118001070602,TOBRADEX,TOBRAMYCINE / DEXAMETHASONE,3 / 1,MG / MG,POMMADE OPHTALMIQUE,1 TUBE 3.5 G,60,39.65,60,P,0%
86,6118000090199,BAITANET G,POLYVIDONE IODEE,10,%,SOLUTION GYNECOLOGIQUE,1 FLACON 550 ML,41,27.1,41,G,0%
87,6118000050568,CARDIX,CARVEDILOL,6.25,MG,COMPRIME SECABLE,1 BOITE 28 COMPRIME,44,27.5,44,G,70%
88,6118001183654,CLARELUX 500 ï¿½G,PROPIONATE DE CLOBETASOL,500,ï¿½G,MOUSSE,1 FLACON 100 G,165.9,109.7,165.9,P,0%
89,6118000040125,BISOLVON,BROMHEXINE,0.2,%,SOLUTION BUVABLE,1 FLACON 60 ML,18.3,12.1,18.3,P,0%
90,6118000220015,ANAFRANIL,CLOMIPRAMINE,25,MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME ENROBE,47.9,29.9,47.9,P,70%
91,6118001170067,AROMASINE,EXEMESTANE,25,MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME,969,689,969,P,70%
92,6118000150107,CLARADOL PLUS,PARACETAMOL / PROPYPHENAZONE,250 / 150,MG / MG,COMPRIME,1 BOITE 10 COMPRIME,17.25,0,17.25,P,0%
93,6118010121593,VANTEC,CETIRIZINE,10,MG,COMPRIME ENROBE SECABLE,1 BOITE 30 COMPRIME ENROBE,37.700000000000003,23.5,37.700000000000003,G,70%
94,6118000360049,VANTEC,CETIRIZINE,10,MG,COMPRIME ENROBE SECABLE,1 BOITE 30 COMPRIME ENROBE,37.700000000000003,23.5,37.700000000000003,G,70%
95,6118001010127,CEFOTRIM,CEFTRIAXONE,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,61,38,61,G,70%
96,6118000230038,ACIVIR,ACICLOVIR,0.1,G,CREME,1 TUBE 2 G,25,0,25,G,0%
97,6118000170389,MADECASSOL,CENTELLA ASIATICA,1,%,POMMADE,1 TUBE 10 G,24,15.9,24,P,0%
98,6118000061311,MITOSYL IRRITATIONS,FOIE DE POISSON / ZINC,13 / 17.55,G / G,POMMADE,1 TUBE 65 G,17.25,11.4,17.25,P,0%
99,6118001150526,PANOXYL,PEROXYDE DE BENZOYLE,5,%,GEL,1 TUBE 40 G,40.200000000000003,26.2,40.200000000000003,P,0%
100,6118001181735,MICROVAL,LEVONORGESTREL,0.03,MG,COMPRIME ENROBE,1 BOITE 28 COMPRIME,13.95,9.1999999999999993,13.95,P,0%
101,6118001140824,LAMICTAL,LAMOTRIGINE,5,MG,COMPRIME DISPERSIBLE,1 BOITE 30 COMPRIME,41.2,25.7,41.2,P,70%
102,6118001121229,GYNERGENE CAFEINE,ERGOTAMINE / CAFEINE,1 / 100,MG / MG,COMPRIME,1 BOITE 20 COMPRIME,41.8,27.6,41.8,P,0%
"103,6118000241119,""ADRENALINE 0,50 MG"",EPINEPHRINE,0.5,MG,SOLUTION INJECTABLE,1 BOITE 10 AMPOULE INJECTABLE,20.6,13.6,20.6,G,70%"
104,6118000040712,SPASMOPRIV,MEBEVERINE,200,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,44.9,28,44.9,G,70%
105,6118000100256,COVERSYL,PERINDOPRIL,4,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,232.4,153.69999999999999,105,P,70%
106,6118001182558,ZOMIG,ZOLMITRIPTAN,2.5,MG,COMPRIME PELLICULE,1 BOITE 6 COMPRIME,323,214,323,P,70%
107,6118001080380,GENHEVAC B,VACCIN ANTI-HEPATITE B,,NA,POUDRE POUR SUSPENSION INJECTABLE,1 BOITE 1 SERINGUE PREREMPLIE,148.4,92.5,148.4,P,70%
108,6118010116766,DIMAZOL,CARBIMAZOLE,10,MG,COMPRIME,1 BOITE 100 COMPRIME,88,58.2,88,G,0%
109,6118000241867,DIMAZOL,CARBIMAZOLE,10,MG,COMPRIME,1 BOITE 100 COMPRIME,88,58.2,88,G,0%
110,6118001030651,LUMIGAN 0.3MG/ML,BIMATOPROST,0.3,MG,COLLYRE,1 FLACON 3 ML,230,152.1,230,P,0%
111,6118001120925,MOSCONTIN,MORPHINE,60,MG,COMPRIME LP,1 BOITE 14 COMPRIME,209,130.80000000000001,209,P,70%
112,6118000160823,PENAMOX,AMOXICILLINE,500,MG,GELULE,1 BOITE 12 GELULE,52.5,32.700000000000003,46.6,P,70%
113,6118000030270,GENTOSYL,GENTAMICINE,40,MG,SOLUTION INJECTABLE,1 BOITE 1 AMPOULE INJECTABLE,12.8,8,12.8,G,70%
114,6118000013099,CIPROFLOXACINE WIN 250 MG,CIPROFLOXACINE,250,MG,COMPRIME PELLICULE,1 BOITE 20 COMPRIME PELLICULE,63.4,41.9,63.4,G,70%
115,6118001270699,PAROXETINE GT 20 MG,PAROXETINE,20,MG,COMPRIME PELLICULE,1 FLACON 10 COMPRIME PELLICULE,63,39.200000000000003,63,G,70%
116,6118010024870,PARAPSYLLIUM,TEGUMENT MUCILAGINEUX DE GRAINE DE PSYLIUM / PARAFFINE LIQUIDE,33.33 / 33.33,G / G,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 1 FLACON,37.549999999999997,0,37.549999999999997,G,0%
117,6118000250685,ZOLOFT,SERTRALINE,50,MG,GELULE,1 BOITE 15 GELULE,71,44.2,71,P,70%
118,6118001220090,SEROHALE 50 ï¿½G,SALMETEROL / FLUTICASONE,25 / 50,ï¿½G / ï¿½G,SUSPENSION POUR INHALATION BUCCALE,1 FLACON 120 DOSE,123,76.900000000000006,123,G,70%
119,6118001184118,SEROHALE 50 ï¿½G,SALMETEROL / FLUTICASONE,25 / 50,ï¿½G / ï¿½G,SUSPENSION POUR INHALATION BUCCALE,1 FLACON 120 DOSE,123,76.900000000000006,123,G,70%
120,6118001030422,ZOMETA,ACIDE ZOLEDRONIQUE,4,MG,SOLUTION A DILUER POUR PERFUSION,1 BOITE 1 FLACON,2689,2321,2689,P,70%
121,6118000190202,BUTAMYL,SALBUTAMOL,1,MG,SUPPOSITOIRE,1 BOITE 12 SUPPOSITOIRE,30.6,19.100000000000001,30.6,G,70%
122,6118000190028,ANTISTAPH / PENISTAPH,FLUCLOXACILLINE,500,MG,GELULE,1 BOITE 24 GELULE,89.9,56,89.9,G,70%
123,6118010035340,TOTAPEN,AMPICILLINE,1,G,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 8 FLACON,51.8,0,51.8,P,70%
124,6118001250844,BRONCOTEC,FORMOTEROL,12,ï¿½G,GELULE INHALEE,1 BOITE 30 GELULE,123.8,77.400000000000006,123.8,G,70%
125,6118000161028,AMOXIL,AMOXICILLINE,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,12.2,7.6,12.2,P,70%
126,6118001270194,CEBESINE,OXYBUPROCAINE,0.4,%,COLLYRE,1 FLACON 10 ML,23,15.2,23,P,0%
127,6118001250592,CHEMOSET,ONDANSETRON,8,MG,COMPRIME PELLICULE,1 BOITE 1 COMPRIME PELLICULE,39,24.3,39,G,70%
128,6118001141494,ZOFRAN,ONDANSETRON,8,MG,SOLUTION INJECTABLE,1 BOITE 5 AMPOULE INJECTABLE,1404.6,929.1,643,P,70%
129,6118000190950,METROZAL,METRONIDAZOLE,500,MG,OVULE,1 BOITE 10 OVULE,28,17.399999999999999,28,G,70%
130,6118000041467,TRE-ZEN 20 MG,PAROXETINE,20,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME SECABLE,130.19999999999999,86.1,130.19999999999999,G,70%
131,6118001200382,ULTRAVIST,IOPROMIDE,370,MG,SOLUTION INJECTABLE,1 FLACON 100 ML,667.6,441.6,667.6,P,0%
132,6118000160113,AMOXIL,AMOXICILLINE,500,MG,COMPRIME DISPERSIBLE,1 BOITE 12 COMPRIME,34.6,21.5,34.6,P,70%
133,6118010033049,OESTRODOSE,ESTRADIOL,0.06,%,GEL,1 FLACON 80 G,86,56.9,86,P,0%
134,6118001260324,OESTRODOSE,ESTRADIOL,0.06,%,GEL,1 FLACON 80 G,86,56.9,86,P,0%
135,6118010116094,SPIRIVA,TIOTROPIUM,18,ï¿½G,GELULE INHALEE,1 BOITE 30 GELULE,571,378,571,P,70%
136,6118001040223,SPIRIVA,TIOTROPIUM,18,ï¿½G,GELULE INHALEE,1 BOITE 30 GELULE,571,378,571,P,70%
137,6118001121052,VITRIMIX KV *,MULTIPLE,,NA,PREPARATION INJECTABLE POUR PERFUSION,1 BOITE 2 FLACON,391.9,0,391.9,P,0%
138,6118000071150,NOCOL,SIMVASTATINE,40,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,198,123.7,198,G,70%
139,6118000140986,DISPAMOX 250 MG,AMOXICILLINE,250,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,18,11.9,18,G,70%
140,6118001150151,INTRONA,INTERFERON ALFA-2B,18,MUI,SOLUTION INJECTABLE,1 STYLO 1.5 ML,0,1200,1200,P,70%
141,6118000070108,AZITHRIX,AZITHROMYCINE,200,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 30 ML,99,61.7,99,G,70%
142,6118000040941,AZIX,AZITHROMYCINE,500,MG,COMPRIME PELLICULE,1 BOITE 3 COMPRIME,79.7,49.7,79.7,G,70%
143,6118010000966,SYNNAX,LAMOTRIGINE,5,MG,COMPRIME DISPERSIBLE,1 BOITE 30 COMPRIME,41.2,25.7,41.2,G,70%
144,6118001101511,SYNNAX,LAMOTRIGINE,5,MG,COMPRIME DISPERSIBLE,1 BOITE 30 COMPRIME,41.2,25.7,41.2,G,70%
145,6118000012436,NOZINAN,LEVOMEPROMAZINE,25,MG,COMPRIME PELLICULE SECABLE,1 BOITE 20 COMPRIME,16.2,10.1,16.2,P,70%
146,6118010116193,STILNOX CR,ZOLPIDEM,12.5,MG,COMPRIME PELLICULE SECABLE,1 BOITE 28 COMPRIME PELLICULE,122,76,122,P,70%
147,6118000061823,STILNOX CR,ZOLPIDEM,12.5,MG,COMPRIME PELLICULE SECABLE,1 BOITE 28 COMPRIME PELLICULE,122,76,122,P,70%
148,6118000140849,RAZON 40 MG,PANTOPRAZOLE,40,MG,COMPRIME ENROBE GASTRO-RESISTANT,1 BOITE 28 COMPRIME ENROBE GASTRO-RESISTANT,180,119.1,180,G,0%
149,6118001100996,ORGALUTRAN,GANIRELIX,0.25,MG,SOLUTION INJECTABLE,1 BOITE 1 AMPOULE INJECTABLE,512.6,339.7,512.6,P,0%
150,6118001120482,XALATAN,LATANOPROST,0.005,%,COLLYRE,1 FLACON 2.5 ML,157,97.8,157,P,70%
151,6118010115851,CEFTAJECT I.M 500 MG/2ML,CEFTRIAXONE,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON + AMPOULE,55,0,55,G,70%
152,6118000241409,CEFTAJECT I.M 500 MG/2ML,CEFTRIAXONE,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON + AMPOULE,55,0,55,G,70%
153,6118010000225,GLIDIABET,GLIBENCLAMIDE,5,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,25.7,17,25.7,G,70%
154,6118010001918,OSCILLOCCINUM,SOUCHE HOMEOPATHIQUE,,NA,GLOBULE,1 BOITE 6 DOSE GLOBULE,71.5,47.3,71.5,P,0%
155,6118000120193,THIAZILIX,INDAPAMIDE,2.5,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,50,31.2,50,G,70%
156,6118000040934,BISPIRAZOLE,SPIRAMYCINE / METRONIDAZOLE,1.5 / 250,MUI / MG,COMPRIME ENROBE,1 BOITE 15 COMPRIME,79.900000000000006,49.8,79.900000000000006,G,70%
157,6118001140725,LACIPIL,LACIDIPINE,2,MG,COMPRIME ENROBE,1 BOITE 14 COMPRIME,75,0,75,P,70%
158,6118001141012,RETROVIR,ZIDOVUDINE,50,MG,SOLUTION BUVABLE,1 FLACON 200 ML,302,201,302,P,70%
159,6118001150458,OKA-ETOPOSIDE,ETOPOSIDE,100,MG,SOLUTION A DILUER POUR PERFUSION,1 BOITE 1 FLACON,126,78.7,126,G,70%
160,6118000080787,ORADEXON,DEXAMETHASONE,0.5,MG,COMPRIME SECABLE,1 BOITE 20 COMPRIME,14.3,8.9,14.3,P,70%
161,6118000032694,NEOFORTAN 40MG,PHLOROGLUCINOL,40,MG,COMPRIME EFFERVESCENT,1 TUBE 10 COMPRIME EFFERVESCENT,40,26.4,40,G,0%
162,6118001230037,DIALYSE PERITONEALE BIEFFE FORMULE 55,CONCENTRE POUR DIALYSE PERITONEALE,,NA,SOLUTION POUR DIALYSE PERITONEALE,1 POCHE 2 L,82.6,0,82.6,P,70%
163,6118010000218,UN-ALFA 1 ï¿½G,ALFACALCIDOL,1,ï¿½G,CAPSULE,1 BOITE 30 CAPSULE,172.2,107.3,172.2,P,70%
164,6118001200740,UN-ALFA 1 ï¿½G,ALFACALCIDOL,1,ï¿½G,CAPSULE,1 BOITE 30 CAPSULE,172.2,107.3,172.2,P,70%
165,6118000161196,PENAMOX,AMOXICILLINE,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,11.5,7.2,11.5,P,70%
166,6118001110469,IMIZINE 10%,METRONIDAZOLE,10,%,PATE DENTAIRE,1 TUBE 4.5 G,360,0,360,P,0%
167,6118001160297,TRUSOPT,DORZOLAMIDE,2,%,COLLYRE,1 FLACON 5 ML,104.4,65,104.4,P,70%
168,6118001182534,ZOLADEX 10.8 MG,GOSERELINE,10.8,MG,IMPLANT INJECTABLE,1 KIT 1 IMPLANT INJECTABLE,3340,3026,3340,P,70%
169,6118000021049,MEDIVEINE,DIOSMINE,600,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,60,39.65,60,G,0%
170,6118000160991,ZANTAC,RANITIDINE,75,MG,COMPRIME EFFERVESCENT,1 BOITE 12 COMPRIME,50.7,31.6,50.7,P,70%
171,6118001150663,QUIETUDE,SOUCHE HOMEOPATHIQUE,,NA,SIROP,1 FLACON 200 ML,47,31,47,P,0%
172,6118001200313,RECOFOL,PROPOFOL,10,MG,EMULSION INJECTABLE,1 BOITE 5 AMPOULE INJECTABLE,0,210,210,P,0%
173,6118001181834,NICOPATCH,NICOTINE,14,MG,DISPOSITIF TRANSDERMIQUE,1 BOITE 7 PATCH,250,165.4,250,P,0%
174,6118001181841,NICOPATCH,NICOTINE,21,MG,DISPOSITIF TRANSDERMIQUE,1 BOITE 28 PATCH,940,621.79999999999995,940,P,0%
175,6118001220168,HIBOR 10000 UI ANTI XA,BEMIPARINE,10000,UI,SOLUTION INJECTABLE,1 BOITE 10 SERINGUE PREREMPLIE,1730.9,1145,1730.9,P,0%
176,6118000240624,PANFUREX,NIFUROXAZIDE,4,%,SUSPENSION BUVABLE,1 FLACON 90 ML,20,13.2,20,G,70%
177,6118001020164,CEFTRIAXONE MYLAN IV 500 MG/5 ML,CEFTRIAXONE,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,64,39.9,64,G,70%
178,6118010000775,CARDINOR,CARVEDILOL,6.25,MG,COMPRIME,1 BOITE 30 COMPRIME,47,29.4,47,G,70%
179,6118001101368,CARDINOR,CARVEDILOL,6.25,MG,COMPRIME,1 BOITE 30 COMPRIME,47,29.4,47,G,70%
180,6118010023453,AMUCHIN 10,CHLOROXYDANT / ELECTROLYTIQUE,0.11 / 1.8,G / G,SOLUTION POUR APPLICATION LOCALE,1 FLACON 200 ML,19.55,0,19.55,G,0%
181,6118001080687,TAVANIC,LEVOFLOXACINE,500,MG,SOLUTION POUR PERFUSION,1 FLACON 100 ML,373,247,373,P,70%
182,6118001183852,DAILY Gï¿½,LEVONORGESTREL / ETHINYLESTRADIOL,0.05 / 0.03,MG / MG,COMPRIME ENROBE,1 BOITE 63 COMPRIME ENROBE,54.6,36.1,54.6,G,0%
183,6118001021161,CIPROFLOXACINE MYLAN 200 MG/100 ML,CIPROFLOXACINE,200,MG,SOLUTION POUR PERFUSION,10 POCHE 100 ML,854,566,854,G,70%
184,6118000061434,RHINATHIOL ENFANT ET NOURRISSON,CARBOCYSTEINE,2,%,SIROP,1 FLACON 125 ML,18.55,12.3,18.55,P,0%
185,6118010019098,FOLINATE DE CALCIUM AGUETTANT 50 MG,FOLINATE DE CALCIUM,50,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 10 FLACON,677,448,677,G,70%
186,6118001080106,R.O.R / TRIMOVAX,VACCIN R.O.R,,NA,POUDRE POUR SUSPENSION INJECTABLE,1 SERINGUE .5 ML,117,72.900000000000006,117,P,70%
187,6118010120312,SOLIAN 100 MG/ML,AMISULPRIDE,100,MG/ML,SOLUTION BUVABLE,1 FLACON 60 ML,367.4,243,367.4,P,0%
188,6118001081806,SOLIAN 100 MG/ML,AMISULPRIDE,100,MG/ML,SOLUTION BUVABLE,1 FLACON 60 ML,367.4,243,367.4,P,0%
189,6118000080466,ZILDAM,PIROXICAM,20,MG,SUPPOSITOIRE,1 BOITE 10 SUPPOSITOIRE,35.700000000000003,22.2,35.700000000000003,G,70%
190,6118001030316,TAREG,VALSARTAN,80,MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE,162.1,101.3,148.6,P,70%
191,6118000170198,GYNO CANESTEN,CLOTRIMAZOLE,200,MG,COMPRIME GYNECOLOGIQUE,1 BOITE 3 COMPRIME GYNECOLOGIQUE,45.35,30,45.35,P,70%
192,6118000320043,HEMOPUR AC1,CONCENTRE POUR HEMODIALYSE,,NA,SOLUTION POUR HEMODIALYSE,1 BIDON 10 L,161.4,100.9,161.4,G,70%
193,6118001000159,EQUORAL,CICLOSPORINE,50,MG,CAPSULE MOLLE,1 BOITE 30 CAPSULE,699,463,699,G,70%
194,6118000030607,ACTIVAROL C100,ACIDE ASCORBIQUE (VITAMINE C) / HEMATOPORPHYRINE,100 / 0.003,MG / G,SOLUTION BUVABLE,1 BOITE 24 AMPOULE,30.6,20.2,30.6,P,0%
195,6118001250912,PRAVATOR,PRAVASTATINE,20,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,99.1,61.9,99.1,G,70%
196,6118010032820,GONAL-F 150 UI,FOLLITROPINE ALFA,150,UI,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,616,407.5,616,P,0%
197,6118010000270,A-GRAM,AMOXICILLINE,250,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,32.700000000000003,21.6,32.700000000000003,G,70%
198,6118001080816,NASACORT,TRIAMCINOLONE,55,ï¿½G,SUSPENSION POUR PULVERISATION NASALE,1 FLACON 15 ML,107.4,66.900000000000006,107.4,P,70%
199,6118001182763,SOTALEX,SOTALOL,160,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,79.599999999999994,52.6,79.599999999999994,P,70%
200,6118001180653,CLIMASTON,ESTRADIOL / DYDROGESTERONE,1 / 5,MG / MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE,92,60.9,92,P,0%
201,6118010118098,ACEPRIL,PERINDOPRIL,2,MG,COMPRIME,1 BOITE 28 COMPRIME,44,27.5,44,G,70%
202,6118000130789,ACEPRIL,PERINDOPRIL,2,MG,COMPRIME,1 BOITE 28 COMPRIME,44,27.5,44,G,70%
203,6118000310105,LORAZEPAM PHARMA,LORAZEPAM,2.5,MG,COMPRIME,1 BOITE 30 COMPRIME,21,13.1,21,G,70%
204,6118010020070,CO-OLMETEC,OLMESARTAN / HYDROCHLOROTHIAZIDE,20 / 12.5,MG / MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,252,157.69999999999999,252,P,70%
205,6118001101627,CO-OLMETEC,OLMESARTAN / HYDROCHLOROTHIAZIDE,20 / 12.5,MG / MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,252,157.69999999999999,252,P,70%
206,6118000010845,IMODIUM,LOPERAMIDE,2,MG,GELULE,1 BOITE 20 GELULE,30.5,20.2,30.5,P,0%
207,6118001080724,TETRAXIM,VACCIN D.T.COQ.P,,NA,PREPARATION INJECTABLE,1 SERINGUE .5 ML,144,89.7,144,P,70%
208,6118000040439,GELUPRANE,PARACETAMOL,500,MG,GELULE,1 BOITE 16 GELULE,16.600000000000001,10.4,15.3,P,70%
209,6118010120770,LETROZOL GT,LETROZOLE,2.5,MG,COMPRIME SECABLE,1 BOITE 60 COMPRIME SECABLE,1110,834,1110,G,70%
210,6118001270682,LETROZOL GT,LETROZOLE,2.5,MG,COMPRIME SECABLE,1 BOITE 60 COMPRIME SECABLE,1110,834,1110,G,70%
211,6118000021537,MELIX,GLIBENCLAMIDE,5,MG,COMPRIME,1 BOITE 30 COMPRIME,19.5,12.2,19.5,G,70%
212,6118001140190,CLAVULIN,AMOXICILLINE / ACIDE CLAVULANIQUE,1 / 200,G / MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,47.8,29.8,40,P,70%
213,6118001181889,NOLVADEX,TAMOXIFENE,10,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,132.5,87.6,78.599999999999994,P,70%
214,6118001120833,SANDOSTATINE *,OCTREOTIDE,100,ï¿½G,SOLUTION INJECTABLE,1 BOITE 6 AMPOULE,532,353,532,P,70%
215,6118000050247,BIAFINE,TROLAMINE,0.67,G,EMULSION POUR APPLICATION LOCALE,1 TUBE 93 G,44,29.1,44,P,0%
216,6118000070801,SUPRIMASE,FLUCONAZOLE,50,MG,GELULE,1 BOITE 7 GELULE,94.9,59.1,94.9,G,70%
217,6118000250364,UNASYN,SULTAMICILLINE,375,MG,COMPRIME ENROBE,1 BOITE 8 COMPRIME,55.8,34.799999999999997,55.8,P,70%
218,6118001230570,FOLINATE DE CALCIUM AGUETTANT 50 MG,FOLINATE DE CALCIUM,50,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 10 FLACON,677,448,677,G,70%
219,6118001160389,SINGULAIR,MONTELUKAST,4,MG,GRANULE,1 BOITE 28 SACHET,299,197.8,299,P,0%
220,6118001081530,ELOXATINE 5 MG/ML,OXALIPLATINE,50,MG,POUDRE POUR SOLUTION POUR PERFUSION,1 BOITE 1 FLACON 10 ML,1203,929,1203,P,70%
221,6118000030744,SANDOCAL,CALCIUM,500,MG,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 10 SACHET,28.5,17.8,28.5,P,70%
222,6118000080985,TOPAAL,ACIDE ALGINIQUE / ALUMINIUM HYDROXYDE,200 / 30,MG / MG,COMPRIME A CROQUER,1 BOITE 42 COMPRIME,35,23.1,35,P,0%
223,6118000011538,STIMOL,CITRULINE MALEATE,1,G,SOLUTION BUVABLE,1 BOITE 20 AMPOULE BUVABLE,46,30.4,46,P,0%
224,6118001100606,OSSOPAN,COMPLEXE OSSEINE HYDROXYAPATITE,600,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,25.4,0,25.4,P,0%
225,6118000230120,INALAP 5 MG,ENALAPRIL,5,MG,COMPRIME,1 BOITE 28 COMPRIME,79,52.2,79,G,70%
226,6118010035609,VACCIN ATNTIDIPHTERIQUE ANTITETANIQUE,ANATOXINE TETANIQUE / ANATOXINE DIPHTERIQUE,,NA / NA,PREPARATION INJECTABLE,1 AMPOULE 1 ML,15,9.3000000000000007,15,P,70%
227,6118010020209,NOMYC,FLUCONAZOLE,150,MG,GELULE,1 BOITE 1 GELULE,25,15.6,25,G,70%
228,6118000071013,NOMYC,FLUCONAZOLE,150,MG,GELULE,1 BOITE 1 GELULE,25,15.6,25,G,70%
229,6118010019715,CORTIVENT,BECLOMETASONE,50,ï¿½G,SUSPENSION POUR INHALATION,1 FLACON 200 DOSE,55,34.4,55,G,70%
230,6118001250196,CORTIVENT,BECLOMETASONE,50,ï¿½G,SUSPENSION POUR INHALATION,1 FLACON 200 DOSE,55,34.4,55,G,70%
231,6118000220053,CATAFLAM,DICLOFENAC,50,MG,COMPRIME ENROBE,1 BOITE 20 COMPRIME,45.5,28.4,32.4,P,70%
232,6118001270996,OXONE 1G/5 ML IM,CEFTRIAXONE,1,G,POUDRE POUR PREPARATION INJECTABLE,1 BOITE 1 FLACON + AMPOULE,85,53,85,G,70%
